image_id,density,ground_truth_n_objects,otsu_n_objects,otsu_error,otsu_dice,otsu_iou,unet_n_objects,unet_error,unet_dice,unet_iou,unet_better_count,unet_better_dice
test_000,sparse,8,8,0,0.9819355010986328,0.964512050151825,8,0,0.9884020686149597,0.9770700931549072,False,True
test_001,normal,19,14,5,0.9762965440750122,0.9536908268928528,14,5,0.9759162068367004,0.952965259552002,False,False
test_002,normal,31,26,5,0.9815381765365601,0.9637457132339478,26,5,0.9849637150764465,0.9703729152679443,False,True
test_003,normal,21,19,2,0.9808041453361511,0.9623313546180725,19,2,0.9767972826957703,0.9546468257904053,False,False
test_004,dense,75,42,33,0.9806333184242249,0.9620025157928467,42,33,0.9899702668190002,0.9801397919654846,False,True
test_005,clustered,49,15,34,0.9782726168632507,0.9574693441390991,15,34,0.9894416928291321,0.9791040420532227,False,True
test_006,sparse,8,8,0,0.9725064039230347,0.9464841485023499,8,0,0.9750077128410339,0.9512342214584351,False,True
test_007,normal,30,23,7,0.9760320782661438,0.9531862139701843,23,7,0.9868859052658081,0.9741113781929016,False,True
test_008,normal,28,23,5,0.98060542345047,0.961948812007904,22,6,0.9884480834007263,0.9771600365638733,False,True
test_009,normal,24,21,3,0.978927731513977,0.9587251543998718,21,3,0.9802381992340088,0.9612423181533813,False,True
test_010,dense,78,36,42,0.9790032505989075,0.9588700532913208,35,43,0.9804806709289551,0.9617087244987488,False,True
test_011,clustered,30,19,11,0.9743379950523376,0.9499600529670715,17,13,0.9772334098815918,0.9554803371429443,False,True
